[12:02:27] [Model]: Loading erfan226/persian-t5-paraphraser...                                    3900279738.py:115
                                                                                                                   
[12:02:35] [Data]: Reading data...                                                                3900279738.py:126
                                                                                                                   
FULL Dataset: (1488792, 2)
TRAIN Dataset: (1487303, 2)
TEST Dataset: (1489, 2)

[12:02:36] [Initiating Fine Tuning]...                                                            3900279738.py:175
 
                               Training Status                               
+---------------------------------------------------------------------------+
|Epoch | Steps |                            Loss                            |
|------+-------+------------------------------------------------------------|
|  0   |   0   | tensor(6.1575, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  10   | tensor(4.5446, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  20   | tensor(4.3823, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  30   | tensor(4.1475, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  40   | tensor(3.8682, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  50   | tensor(3.9648, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  60   | tensor(3.9710, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  70   | tensor(3.9698, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  80   | tensor(3.7387, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  90   | tensor(3.8459, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  100  | tensor(3.9621, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  110  | tensor(3.7398, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  120  | tensor(3.6051, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  130  | tensor(3.7023, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  140  | tensor(3.6142, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  150  | tensor(3.6987, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  160  | tensor(3.6597, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  170  | tensor(3.5866, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  180  | tensor(3.5384, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  190  | tensor(3.5264, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  200  | tensor(3.5418, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  210  | tensor(3.5897, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  220  | tensor(3.3091, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  230  | tensor(3.5114, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  240  | tensor(3.5626, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  250  | tensor(3.6747, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  260  | tensor(3.6275, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  270  | tensor(3.5406, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  280  | tensor(3.4529, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  290  | tensor(3.4654, device='cuda:0', grad_fn=<NllLossBackward0>)|
|  0   |  300  | tensor(3.2484, device='cuda:0', grad_fn=<NllLossBackward0>)|
